num,capability,domain,type,definition,application,technology,attributes,risk
15,Cyber Surveillance,Cyber,CE,Software and hardware that provides access to an adversary’s computer network,"Provides insight into adversary behavior, intentions, and decisionmaking",Eternal Synergy and Double Pulsar ,"(Un)detectability, Persistence","Intrusive, Clandestine"
16,"Compact, Multisensor Proximity Devices",Land,CE,"Credit card-sized secure, low-resolution wireless sensors",Passive sensors placed close to land target location. Example target includes nuclear fuel fabrication facilities,,"Precision, Persistence","Intrusive, Clandestine"
17,Plant-based Sensors,Land,CE,Physiology-based sensors capable of reporting the presence of various stimuli ,Employed in adversary territory to monitor for certain chemical or radiological signatures associated with activities of interest,DARPA Advanced Plant Technologies program,"Vantage/ Range, (Un)detectability","Intrusive, Clandestine"
18,Light Detection and Ranging (LIDAR),Air;Sea;Space,CE,A sensor that generates spatial data from light reflected from a laser ,"Rapidly 3D maps a target area from air, space, or the surface of the ocean, with potential tracking capabilities",DARPA HALOE,"Precision, Persistence","Dual-use, Preemptive  "
19,Hyperspectral Sensors,Air;Sea;Space,CE,Takes hundreds or thousands of contiguous images in narrow wavebands ,Provides a picture of adversary behavior using hyperspectral images that cut through obstacles to optical sensors,ACES-Hy UAV sensor,"Vantage/ Range, Precision","Dual-use, Preemptive"
20,Non-acoustic Submarine Detection,Air;Sea;Space,CE,"Detection technologies, including light-based imaging and magnetic detection","Magnetometers, in particular, are used to attempt to track adversary submarines",China’s Guanlon Project ,"Vantage/ Range, Precision","Clandestine, Action-enabling"
21,Remote Radiation Detection by Electromagnetic Air Breakdown,Air;Land;Sea,CE,Uses the reflection of high-intensity pulses to probe the concentration of charged species produced by ionization in air,Used to detect nuclear activity in facilities across the fuel cycle. ,,"Vantage/ Range, Speed","Intrusive, Preemptive"
22,Electro-optical (EO) Sensor ,Air;Land;Sea,CE,Use lenses and mirrors to image objects across the electromagnetic spectrum,"Used to detect and track aircraft, missile launch warning, target acquisition and surveillance, etc. ",ARGUS,"Vantage/ Range, Precision","Dual-use, Preemptive"
23,Gravity Gradiometer,Air;Sea,CE,Passive sensor that measures minute differences in the Earth's density ,Yields information on geologic structures underground and undersea used to surveil tunneling by adversaries,,"Vantage/ Range, Precision","Dual-use, Preemptive  "
24,Synthetic Aperture Radar (SAR),Air;Space,CE,Radar-based sensor used to build high-resolution imagery from mobile platforms ,Used to surveil and detect land-based assets such as mobile missiles ,RADARSAT-2 ,Precision,"Dual-use, Preemptive  "
25,Inverse Synthetic Aperture Radar (ISAR)  ,Air;Land;Sea;Space,CE,Uses movement of the target to generate high-resolution images,Able to image moving objects from a variety of vantage points ,,Precision,"Dual-use, Preemptive  "
26,Cognitive Electronic Warfare ,Defense,Countering,Uses AI to enhance development and operation of electronic warfare technologies,"Used to detect, suppress, and neutralize cyber attacks",,"Speed, Persistence","Predictive, Clandestine, Destructive "
27,Spoofing ,Defense,Countering,Cyberattack in which attacker masquerades as legitimate user and provides false data to the system,Used to take control of a satellite or inject corrupt data into communications or otherwise poison data from SA sources,,"Vantage/ Range, Precision","Intrusive, Action-enabling, Destructive "
28,Satellite Jamming,Defense,Countering,Electronic anti-satellite (ASAT) attack that interferes with communications traveling to and from a satellite  (downlink and uplink),"Used to disrupt missile warning systems, SIGINT, GPS, and communications satellites","Krasukha-2, Zhitel, and Borisglobesk","Persistence, Resiliency/ Reliability","Action-enabling, Destructive"
